en,es,pt
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Sleep Issues,Problemas de sueño,Problemas de sono
"Stress, Anxiety & Teeth Grinding","Estrés, ansiedad y bruxismo","Estresse, ansiedade e bruxismo"
"Sunburns, Burns & Scars","Quemaduras de sol, quemaduras y cicatrices","Queimaduras solares, queimaduras e cicatrizes"
Allergies & Hay Fever,Alergias y fiebre de heno,Alergias e rinite alérgica
Colic & upset baby,Cólicos y bebé molesto,Cólica e bebê agitado
"Cuts, Wounds & Blisters","Cortes, heridas y ampollas","Cortes, feridas e bolhas"
Bug Bites & Hives,Picaduras de insecto y urticaria,Picadas de insetos e urticária
Nosebleeds & Pink Eye,Hemorragias nasales y conjuntivitis,Sangramento nasal e conjuntivite
High Blood Pressure,Hipertensión,Pressão Arterial Alta
Migraines & Headaches,Migrañas y dolores de cabeza,Dores de cabeça e Enxaquecas
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Loss of Sexual Arousal, Impotence, Erectile Dysfunction & Frigidity","Pérdida de excitación sexual, impotencia, disfunción eréctil y frigidez","Perda de excitação sexual, impotência, disfunção erétil e frigidez"
"Chronic & Stress-Related or Nervous Depression, Elevated Cortisol Levels & Tension Headaches","Depresión crónica y por estrés o nerviosa, niveles elevados de cortisol y dolores de cabeza tensionales","Depressão crônica e relacionada ao estresse ou nervosa, níveis elevados de cortisol e cefaleia de tensão"
"Damaged, Dry, Wrinkled, Sagging & Scarred Skin","Piel dañada, reseca, arrugada, flácida y con cicatrices","Pele danificada, seca, enrugada, com flacidez e cicatrizes"
Childbirth & Pregnancy,Parto y embarazo,Parto e gravidez
"Heart Palpitations, High Blood Pressure, & Seizures","Palpitaciones del corazón, hipertensión y convulsiones","Palpitações cardíacas, pressão arterial alta e convulsões"
"Menopause & Chronic Insomnia, Pms, Estrogen Imbalance","Menopausia e insomnio crónico, síndrome premenstrual, desequilibrio de estrógeno","Menopausa, insônia crônica, TPM, desequilíbrio do estrogênio"
"Hysteria, Panic, Grief, Shock, Irritation & Anger","Histeria, pánico, duelo, shock, irritación e ira","Histeria, pânico, sofrimento, choque, irritação e ira"
"Overthinking, Overwhelm, Confusion & Distressed Thinking","Pensar de más, desconcierto, confusión y pensamiento afligido","Pensar demais, sobrecarga, confusão e pensamento angustiado"
"Menstrual & Muscle Cramps, Spastic Coughs","Cólicos menstruales y musculares, tos espástica","Cólicas menstruais e musculares, tosse espástica"
"Cramping From Indigestion, Colitis, Diarrhea & Food Poisoning","Cólicos causados por la indigestión, colitis, diarrea e intoxicación alimentaria","Cólica por indigestão, colite, diarreia e intoxicação alimentar"
"Acne & Related Dark Spots, Eczema, Rashes","Acné y manchas oscuras relacionadas, eccema, sarpullidos","Acne e manchas escuras, eczema e erupções cutâneas"
"Wound Disinfectant, Athlete's Foot, Ringworm, Painful Tetanus Injection Site","Desinfectante de heridas, pie de atleta, tiña, sitio de inyección de tétanos doloroso","Desinfetante de feridas, pé de atleta, micose, local dolorido da injeção de tétano"
"Deodorant, Perfume & Room Freshener","Desodorante, perfume y ambientador","Desodorante, perfume e ambientador"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Fevers, Colds & Viral Infections","Fiebres, resfriados e infecciones virales","Febres, resfriados e infecções virais"
"Cold Sores, Herpes & Fever Blisters","Herpes labial, herpes y ampollas febriles","Aftas, herpes e herpes labial"
"Depression, Anxiety & Shock","Depresión, ansiedad y shock","Depressão, ansiedade e choque"
"Bites, Stings & Warts","Mordeduras, picaduras y verrugas","Picadas, ferroadas e verrugas"
Allergies,Alergias,Alergias
"Hypertension, Palpitations & High Blood Pressure","Hipertensión, palpitaciones y presión arterial alta","Hipertensão, palpitações e pressão arterial alta"
Vertigo,Vértigo,Vertigem
Eczema,Eccema,Eczema
"Infertility, Sterility & Menstrual Issues","Infertilidad, esterilidad y problemas menstruales","Infertilidade, esterilidade e problemas menstruais"
Dysentery & Indigestion,Disentería e indigestión,Disenteria e indigestão
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Alertness & Energy,Lucidez mental y energía,Atenção e energia
Fevers & Hot Flashes,Fiebres y bochornos,Febres e calor da menopausa
Burns & Sunburn,Quemaduras y quemaduras de sol,Queimaduras e queimaduras solares
Memory issues & Autism,Problemas de memoria y autismo,Problemas de memória e autismo
Cravings,Antojos,Desejos
Muscle Stiffness & Tension,Rigidez y tensión muscular,Rigidez e tensão muscular
Allergies & Hives,Alergias y urticaria,Alergias e urticárias
Headaches & Migraines,Dolores de cabeza y migrañas,Dores de cabeça e Enxaquecas
Bad Breath & Hangover,Mal aliento y resaca,Mau hálito e ressaca
Asthma & Sinusitis,Asma y sinusitis,Asma e sinusite
Decrease Milk Supply,Suministro de leche bajo,Diminuição na produção de leite
Loss of Sense of Smell,Pérdida del sentido del olfato,Perda do sentido do olfato
Gastritis & Digestive discomfort,Gastritis y malestar digestivo,Gastrite e desconforto digestivo
Gamma Radiation Exposure,Exposición a la radiación gamma,Exposição a radiação gama
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Learning difficulties & Poor Retention,Dificultades de aprendizaje y retención escasa,Dificuldades de aprendizagem e de retenção
"PTSD, Depression & Anxiety",Trastorno de estrés postraumático y ansiedad,"TEPT, depressão e ansiedade"
Insomnia & Irritability,Insomnio e irritabilidad,Insônia e irritabilidade
Anorexia,Anorexia,Anorexia
Vitiligo,Vitiligo,Vitiligo
Tuberculosis,Tuberculosis,Tuberculose
Breast Enlargement,Agrandamiento de los senos,Aumento dos Seios
Postpartum Depression,Depresión posparto,Depressão pós-parto
"Stretch Marks, Discoloration & Scars","Estrías, decoloración y cicatrices","Estrias, descoloração e cicatrizes"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Weight Loss, Obesity & Low Metabolism","Pérdida de peso, obesidad y metabolismo lento","Perda de peso, obesidade e metabolismo baixo"
Cellulite,Celulitis,Celulite
Over-Fatigue & Eating Disorders,Fatiga exagerada y trastornos alimentarios,Excesso de fadiga e distúrbios alimentares
Appetite & Cravings,Apetito y antojos,Apetite e desejos
Lymphatic Stimulant & Support,Estimulante y refuerzo del sistema linfático,Estimulante e auxílio linfático
Congestion & Colds,Congestión y resfriados,Congestão e resfriados
Urinary Tract Support,Refuerzo del tracto urinario,Auxílio do trato urinário
Blood Sugar Balance,Regulación del contenido de azúcar en la sangre,Equilíbrio do Açúcar no Sangue
Detoxification & Cleansing,Desintoxicación y limpieza,Desintoxicação e limpeza
Digestive Stimulant & Calming,Estimulante y tranquilizante digestivo,Estimulante e calmante digestivo
High Cholesterol,Colesterol alto,Colesterol alto
Gallbladder Issues & Stones,Problemas y cálculos biliares,Problemas e pedras na vesícula biliar
Inflammation Issues,Problemas de inflamación,Problemas inflamatórios
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"ADD, ADHD, & Low GABA Levels","ADD, ADHD, y niveles de GABA bajos","DDA, TDAH e baixos níveis de GABA"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Endometriosis & PMS,Endometriosis y síndrome premenstrual,Endometriose e TPM
High Blood Pressure & Atherosclerosis,Hipertensión y aterosclerosis,Pressão arterial alta e aterosclerose
Anxiety & Sleep Issues,Ansiedad y problemas de sueño,Ansiedade e problemas do sono
"Blisters, Bites, Burns, Bruising & Sprains","Ampollas, picaduras, quemaduras, moretones y esguinces","Bolhas, picadas, queimaduras, machucados e torções"
